"time","x","y","der(x)","der(y)"
12.236,0.9391819155885497,1.959299562593348,1.959299562593348,-0.8698595481980257
12.238,0.9430987746254815,1.957551532008752,1.957551532008752,-0.8781679445007597
12.24,0.9470121184138329,1.95578688463037,1.95578688463037,-0.8864797041044252
12.242,0.9509219251686581,1.954005590043581,1.954005590043581,-0.8947945846515648
12.244,0.9548281609657718,1.952207643713672,1.952207643713672,-0.9031123163050675
12.246,0.9587307843774471,1.95039305730512,1.95039305730512,-0.9114326119019905
12.248,0.9626297620943877,1.948561826046426,1.948561826046426,-0.9197552009370134
12.25,0.9665250607939384,1.946713945725477,1.946713945725477,-0.9280798118849896
12.252,0.9704166471409075,1.944849412692756,1.944849412692756,-0.9364061722199368
12.254,0.9743044877884245,1.942968223864552,1.942968223864552,-0.94473400843431
12.256,0.9781885493787984,1.941070376726159,1.941070376726159,-0.953063046058475
12.258,0.9820687985443397,1.939155869335097,1.939155869335097,-0.9613930096803103
12.26,0.9859452019082362,1.937224700324302,1.937224700324302,-0.9697236229651232
12.262,0.9898177260853753,1.935276868905352,1.935276868905352,-0.9780546086756521
12.264,0.9936863376832026,1.933312374871667,1.933312374871667,-0.9863856886923447
12.266,0.9975510033025784,1.931331218601707,1.931331218601707,-0.9947165840338308
12.268,1.001411689538604,1.929333401062198,1.929333401062198,-1.003047014877525
12.27,1.005268362981483,1.927318923811328,1.927318923811328,-1.011376700580496
12.272,1.009120990217372,1.925287789001951,1.925287789001951,-1.019705359700522
12.274,1.01296953782921,1.92323999938481,1.92323999938481,-1.028032710017269
12.276,1.016813972397589,1.921175558311726,1.921175558311726,-1.03635846855377
12.278,1.020654260501583,1.919094469738823,1.919094469738823,-1.044682351597989
12.28,1.024490368719596,1.916996738229722,1.916996738229722,-1.053004074724628
12.282,1.028322263630229,1.914882368958755,1.914882368958755,-1.061323352817148
12.284,1.032149911813101,1.912751367714172,1.912751367714172,-1.069639900089888
12.286,1.03597327984971,1.910603740901353,1.910603740901353,-1.077953430110441
12.288,1.039792334324287,1.908439495546002,1.908439495546002,-1.086263655822209
12.29,1.043607041824621,1.906258639297372,1.906258639297372,-1.094570289567078
12.292,1.047417368942935,1.904061180431458,1.904061180431458,-1.10287304310836
12.294,1.051223282276707,1.901847127854215,1.901847127854215,-1.111171627653819
12.296,1.055024758389759,1.899616445550081,1.899616445550081,-1.11946577427085
12.298,1.058821763112987,1.897369147260483,1.897369147260483,-1.127755191293778
12.3,1.062614256720283,1.89510527281791,1.89510527281791,-1.136039575291567
12.302,1.06640220605198,1.892824832704568,1.892824832704568,-1.144318635842688
12.304,1.070185577966612,1.890527838008934,1.890527838008934,-1.152592082097635
12.306,1.073964339341883,1.888214300428272,1.888214300428272,-1.160859622802804
12.308,1.077738457075702,1.885884232271126,1.885884232271126,-1.169120966324656
12.31,1.081507898087155,1.883537646459838,1.883537646459838,-1.177375820673888
12.312,1.085272629317517,1.881174556533046,1.881174556533046,-1.185623893529858
12.314,1.089032617731266,1.878794976648186,1.878794976648186,-1.193864892265126
12.316,1.092787830317059,1.876398921584007,1.876398921584007,-1.202098523970095
12.318,1.096538234088748,1.873986406743072,1.873986406743072,-1.21032449547784
12.32,1.100283796086384,1.871557448154256,1.871557448154256,-1.218542513389088
12.322,1.104024483377202,1.869112062475268,1.869112062475268,-1.226752284097259
12.324,1.107760263056643,1.866650266995137,1.866650266995137,-1.234953513813748
12.326,1.111491102249333,1.864172079636733,1.864172079636733,-1.243145908593229
12.328,1.115216968110094,1.861677518959267,1.861677518959267,-1.251329174359171
12.33,1.118937827824958,1.859166604160788,1.859166604160788,-1.25950301692947
12.332,1.12265364861214,1.856639355080705,1.856639355080705,-1.267667142042143
12.334,1.126364397723057,1.85409579220228,1.85409579220228,-1.275821255381224
12.336,1.130070042443332,1.851535936655134,1.851535936655134,-1.283965062602758
12.338,1.133770550093779,1.848959810217762,1.848959810217762,-1.292098269360864
12.34,1.137465888031421,1.846367435320022,1.846367435320022,-1.300220581334005
12.342,1.141156023650477,1.843758835045658,1.843758835045658,-1.308331704251274
12.344,1.144840924383366,1.841134033134796,1.841134033134796,-1.31643134391886
12.346,1.148520557701721,1.838493053986446,1.838493053986446,-1.324519206246622
12.348,1.152194891117368,1.835835922661016,1.835835922661016,-1.332594997274703
12.35,1.155863899410629,1.833162599282089,1.833162599282089,-1.340658433002919
12.352,1.159527549311166,1.830473118097144,1.830473118097144,-1.348709218202524
12.354,1.16318580410733,1.827767545650702,1.827767545650702,-1.356747053345465
12.356,1.166838631633021,1.825045908301039,1.825045908301039,-1.364771645327435
12.358,1.17048599977349,1.822308233024492,1.822308233024492,-1.372782701303476
12.36,1.174127876466459,1.819554547416968,1.819554547416968,-1.380779928714633
12.362,1.177764229703244,1.816784879695456,1.816784879695456,-1.388763035314682
12.364,1.181395027529843,1.813999258699562,1.813999258699562,-1.396731729196868
12.366,1.185020238048054,1.811197713893013,1.811197713893013,-1.404685718820752
12.368,1.188639829416596,1.808380275365174,1.808380275365174,-1.412624713039144
12.37,1.192253769852196,1.805546973832579,1.805546973832579,-1.420548421125005
12.372,1.195862027630723,1.80269784064043,1.80269784064043,-1.428456552798522
12.374,1.199464571088275,1.799832907764134,1.799832907764134,-1.436348818254129
12.376,1.203061368622302,1.796952207810809,1.796952207810809,-1.444224928187645
12.378,1.206652388692721,1.794055774020802,1.794055774020802,-1.452084593823463
12.38,1.210237599823005,1.791143640269213,1.791143640269213,-1.459927526941724
12.382,1.213816970601311,1.788215841067411,1.788215841067411,-1.467753439905591
12.384,1.217390469681586,1.785272411564541,1.785272411564541,-1.475562045688562
12.386,1.220958065784667,1.782313387549064,1.782313387549064,-1.48335305790176
12.388,1.224519727699407,1.779338805450249,1.779338805450249,-1.491126190821348
12.39,1.228075424283768,1.776348702339712,1.776348702339712,-1.498881159415878
12.392,1.231625124465936,1.773343115932927,1.773343115932927,-1.506617679373737
12.394,1.235168797245443,1.770322084590731,1.770322084590731,-1.514335467130615
12.396,1.238706411694256,1.767285647320866,1.767285647320866,-1.522034239896939
12.398,1.242237936957897,1.764233843779479,1.764233843779479,-1.529713715685379
12.4,1.245763342256562,1.761166714272639,1.761166714272639,-1.537373613338383
12.402,1.249282596886207,1.758084299757871,1.758084299757871,-1.545013652555642
12.404,1.252795673631797,1.754986565798321,1.754986565798321,-1.552633548842376
12.406,1.256302541400163,1.751873566783406,1.751873566783406,-1.560233023948056
12.408,1.259803167781955,1.748745388855963,1.748745388855963,-1.567811802923071
12.41,1.263297522457133,1.745602074038815,1.745602074038815,-1.575369608893287
12.412,1.266785575189809,1.742443664950537,1.742443664950537,-1.582906165958058
12.414,1.270267295829415,1.739270204805846,1.739270204805846,-1.590421199216832
12.416,1.273742654311876,1.736081737415992,1.736081737415992,-1.597914434795715
12.418,1.277211620660744,1.732878307189178,1.732878307189178,-1.605385599873962
12.42,1.280674164988383,1.729659959130934,1.729659959130934,-1.612834422710504
12.422,1.284130257497109,1.726426738844541,1.726426738844541,-1.620260632670373
12.424,1.287579868480359,1.723178692531418,1.723178692531418,-1.627663960251128
12.426,1.291022968323858,1.719915866991512,1.719915866991512,-1.635044137109251
12.428,1.294459527506762,1.716638309623718,1.716638309623718,-1.642400896086445
12.43,1.297889516602826,1.713346068426267,1.713346068426267,-1.649733971235927
12.432,1.301312906281574,1.710039191997117,1.710039191997117,-1.657043097848684
12.434,1.304729667309437,1.706717729534374,1.706717729534374,-1.664328012479611
12.436,1.308139770550936,1.703381730836666,1.703381730836666,-1.671588452973674
12.438,1.311543186969822,1.700031246303565,1.700031246303565,-1.678824158491936
12.44,1.314939887630245,1.696666326935975,1.696666326935975,-1.686034869537574
12.442,1.318329843697922,1.693287024336524,1.693287024336524,-1.693220327981834
12.444,1.321713026441277,1.689893390709981,1.689893390709981,-1.700380277089853
12.446,1.325089407232614,1.686485478863645,1.686485478863645,-1.70751446154648
12.448,1.328458957549282,1.683063342207739,1.683063342207739,-1.714622627482009
12.45,1.331821648974818,1.679627034755826,1.679627034755826,-1.721704522497782
12.452,1.33517745285483,1.676176563290797,1.676176563290797,-1.728759883650869
12.454,1.338526340493314,1.672711914403279,1.672711914403279,-1.735788443714805
12.456,1.341868284448371,1.669233233828179,1.669233233828179,-1.742789977032579
12.458,1.34520325672458,1.665740575869336,1.665740575869336,-1.749764236577132
12.46,1.348531229437851,1.662233995344808,1.662233995344808,-1.756710976872491
12.462,1.351852174816577,1.658713547585569,1.658713547585569,-1.763629954017227
12.464,1.355166065202797,1.655179288434217,1.655179288434217,-1.770520925707803
12.466,1.358472873053317,1.65163127424372,1.65163127424372,-1.77738365126172
12.468,1.361772570940883,1.648069561876097,1.648069561876097,-1.78421789164063
12.47,1.365065131555312,1.644494208701162,1.644494208701162,-1.791023409473228
