"time","$STATESET1.x","$STATESET2.x","der($STATESET1.x)","der($STATESET2.x)","der(vx)","der(vy)","der(x)","der(y)","F","vx","vy","x","y","$STATESET1.A[1]","$STATESET1.A[2]","$STATESET2.A[1]","$STATESET2.A[2]"
0.872,-0.3417450027980806,-0.005954236396839322,-9.805826859802997,-0.3417450027980806,0.3504096922171634,-9.805826859802997,0.00406994966171805,-0.3417450027980806,0.3504345409614055,0.00406994966171805,-0.3417450027980806,-0.4999645458119311,-0.005954236396839322,1,0,0,1
0.874,-0.361355633019882,-0.006657339844688212,-9.804783054175713,-0.361355633019882,0.3917843683511227,-9.804783054175713,0.004811761042687996,-0.361355633019882,0.3918191008718459,0.004811761042687996,-0.361355633019882,-0.4999556778617404,-0.006657339844688212,1,0,0,1
0.876,-0.3809639955814324,-0.007399661875181971,-9.803554715640916,-0.3809639955814324,0.435464390542665,-9.803554715640916,0.005638627027655173,-0.3809639955814324,0.4355120860793235,0.005638627027655173,-0.3809639955814324,-0.4999452420056951,-0.007399661875181971,1,0,0,1
0.878,-0.4005697027319964,-0.00818119775179255,-9.802121290359489,-0.4005697027319964,0.4814487519660205,-9.802121290359489,0.00655515746114961,-0.4005697027319964,0.4815132135624506,0.00655515746114961,-0.4005697027319964,-0.4999330635228541,-0.00818119775179255,1,0,0,1
0.88,-0.4201723248085272,-0.009001942102189195,-9.800461143243258,-0.4201723248085272,0.5297362814266207,-9.800461143243258,0.007565960195707571,-0.4201723248085272,0.5298221566223231,0.007565960195707571,-0.4201723248085272,-0.4999189584706594,-0.009001942102189195,1,0,0,1
0.882,-0.4397713879449514,-0.009861888833309922,-9.798551559293715,-0.4397713879449514,0.5803256254730056,-9.798551559293715,0.008675640775133577,-0.4397713879449514,0.5804385397053167,0.008675640775133577,-0.4397713879449514,-0.499902733687904,-0.009861888833309922,1,0,0,1
0.884,-0.4593663614592779,-0.01076102750093521,-9.796368751550359,-0.4593663614592779,0.6332151410950313,-9.796368751550359,0.009888798602684006,-0.4593663614592779,0.6333618443246295,0.009888798602684006,-0.4593663614592779,-0.4998841868744441,-0.01076102750093521,1,0,0,1
0.886,-0.4789566789048391,-0.01169935124233785,-9.793887849979917,-0.4789566789048391,0.6884030741235859,-9.793887849979917,0.01121003399565061,-0.4789566789048391,0.688591601634142,0.01121003399565061,-0.4789566789048391,-0.4998631064406618,-0.01169935124233785,1,0,0,1
0.888,-0.4985417179658704,-0.01267685057263944,-9.791082913044919,-0.4985417179658704,0.7458873882540219,-9.791082913044919,0.01264394220630542,-0.4985417179658704,0.7461272358889415,0.01264394220630542,-0.4985417179658704,-0.4998392716259488,-0.01267685057263944,1,0,0,1
0.89,-0.5181208029516478,-0.01369351494340016,-9.787926927594752,-0.5181208029516478,0.8056657839943483,-9.787926927594752,0.01419511443258406,-0.5181208029516478,0.80596809863954,0.01419511443258406,-0.5181208029516478,-0.4998124524744205,-0.01369351494340016,1,0,0,1
0.892,-0.5376932025834762,-0.01474933268438042,-9.784391811451586,-0.5376932025834762,0.8677356771479005,-9.784391811451586,0.01586813735516288,-0.5376932025834762,0.8681134630427387,0.01586813735516288,-0.5376932025834762,-0.4997824098398877,-0.01474933268438042,1,0,0,1
0.894,-0.5572581323193525,-0.01584428578476202,-9.780448428806963,-0.5572581323193525,0.9320940852900057,-9.780448428806963,0.01766758702798807,-0.5572581323193525,0.9325624264319196,0.01766758702798807,-0.5572581323193525,-0.4997488955545283,-0.01584428578476202,1,0,0,1
0.896,-0.5768147427190745,-0.01697836055009294,-9.7760665699802,-0.5768147427190745,0.9987377949450973,-9.7760665699802,0.01959803945090816,-0.5768147427190745,0.9993140951296063,0.01959803945090816,-0.5768147427190745,-0.4997116521285361,-0.01697836055009294,1,0,0,1
0.898,-0.5963621237935151,-0.01815154008098308,-9.771214971002566,-0.5963621237935151,1.067663204860183,-9.771214971002566,0.02166406237380079,-0.5963621237935151,1.068367444976984,0.02166406237380079,-0.5963621237935151,-0.4996704129650749,-0.01815154008098308,1,0,0,1
0.9,-0.6158993016313614,-0.01936380553438184,-9.765861315275718,-0.6158993016313614,1.138866324881031,-9.765861315275718,0.02387021593552942,-0.6158993016313614,1.139721338502187,0.02387021593552942,-0.6158993016313614,-0.4996249023369698,-0.01936380553438184,1,0,0,1
0.902,-0.6354252359999296,-0.02061513627706793,-9.759972237747547,-0.6354252359999296,1.212342754195987,-9.759972237747547,0.02622105219484369,-0.6354252359999296,1.213374522003615,0.02622105219484369,-0.6354252359999296,-0.4995748353913335,-0.02061513627706793,1,0,0,1
0.904,-0.6549388306938698,-0.02190550547483367,-9.753513343530036,-0.6549388306938698,1.288087602463329,-9.753513343530036,0.02872110923783059,-0.6549388306938698,1.289325565549246,0.02872110923783059,-0.6549388306938698,-0.4995199183515028,-0.02190550547483367,1,0,0,1
