"time","F1.y","der(F1.y)","F1.u"
0.332,0.8728922590773216,-0.2734788976713134,0.3259344637346948
0.334,0.8723464855975926,-0.2722609451302458,0.327824595337101
0.336,0.8718031466875312,-0.2710448655229842,0.3297134156415628
0.338,0.8712622387192681,-0.2698306608132331,0.3316009170928018
0.34,0.8707237580649333,-0.2686183329620594,0.3334870921408144
0.342,0.8701877010966576,-0.2674078839278772,0.3353719332409032
0.344,0.869654064186571,-0.2661993156664324,0.3372554328537061
0.346,0.8691228437068041,-0.2649926301307884,0.3391375834452273
0.348,0.8685940360294874,-0.2637878292713102,0.341018377486867
0.35,0.8680676375267513,-0.26258491503565,0.3428978074554513
0.352,0.8675436445707263,-0.2613838893687316,0.3447758658332631
0.354,0.8670220535335426,-0.2601847542127357,0.3466525451080712
0.356,0.8665028607873305,-0.2589875115070847,0.3485278377731611
0.358,0.8659860627042206,-0.257792163188428,0.3504017363273646
0.36,0.8654716556563434,-0.2565987111906267,0.3522742332750899
0.362,0.8649596360158295,-0.2554071574447387,0.3541453211263519
0.364,0.8644500001548088,-0.2542175038790035,0.3560149923968016
0.366,0.863942744445412,-0.2530297524188277,0.3578832396077564
0.368,0.8634378652597693,-0.2518439049867697,0.3597500552862299
0.37,0.8629353589700115,-0.2506599635025247,0.361615431964962
0.372,0.8624351883360079,-0.2494779130767798,0.3634793621824483
0.374,0.8619373743713759,-0.2482977679442026,0.3653418384829706
0.376,0.8614419184560721,-0.247119532519723,0.367202853416626
0.378,0.8609488168400845,-0.2459432086503636,0.3690623995393574
0.38,0.8604580657734009,-0.2447687981802091,0.3709204694129827
0.382,0.859969661506009,-0.243596302950392,0.3727770556052249
0.384,0.8594836002878966,-0.2424257247990775,0.3746321506897417
0.386,0.858999878369052,-0.2412570655614484,0.3764857472461553
0.388,0.8585184919994626,-0.2400903270696904,0.3783378378600818
0.39,0.8580394374291165,-0.2389255111529775,0.3801884151231614
0.392,0.8575627109080015,-0.237762619637457,0.3820374716330874
0.394,0.8570883086861056,-0.2366016543462347,0.3838849999936363
0.396,0.8566162270134164,-0.2354426170993597,0.385730992814697
0.398,0.856146462139922,-0.2342855097138106,0.3875754427123008
0.4,0.85567901031561,-0.2331303340034797,0.3894183423086505
0.402,0.8552138677904684,-0.2319770917791591,0.3912596842321502
0.404,0.8547510308144851,-0.2308257848485252,0.3930994611174347
0.406,0.854290495637648,-0.2296764150161247,0.3949376656053987
0.408,0.8538322585099448,-0.2285289840833589,0.396774290343227
0.41,0.8533763156813636,-0.2273834938484704,0.3986093279844229
0.412,0.8529226634018919,-0.2262399461065268,0.4004427711888383
0.414,0.8524712979215179,-0.2250983426494075,0.402274612622703
0.416,0.8520222154902294,-0.223958685265788,0.4041048449586535
0.418,0.851575412358014,-0.2228209757411256,0.4059334608757629
0.42,0.8511308847748599,-0.2216852158576449,0.4077604530595701
0.422,0.8506886289907547,-0.2205514073943229,0.4095858142021088
0.424,0.8502486412556863,-0.2194195521268748,0.4114095370019368
0.426,0.8498109178196428,-0.2182896518277387,0.4132316141641653
0.428,0.8493754549326119,-0.2171617082660619,0.4150520384004882
0.43,0.8489422369458791,-0.2160357172583342,0.4168708024292108
0.432,0.8485112495603705,-0.2149116752925455,0.4186878989752795
0.434,0.8480825081194906,-0.21378959367459,0.4205033207703106
0.436,0.8476560087645383,-0.2126694741059595,0.4223170605526193
0.438,0.8472317476368119,-0.2115513182847815,0.4241291110672488
0.44,0.8468097208776101,-0.2104351279058052,0.4259394650659996
0.442,0.8463899246282314,-0.2093209046603867,0.427748115307458
0.444,0.8459723550299743,-0.2082086502364743,0.4295550545570256
0.446,0.8455570082241375,-0.2070983663185949,0.4313602755869477
0.448,0.8451438803520195,-0.2059900545878385,0.4331637711763425
0.45,0.8447329675549189,-0.2048837167218443,0.4349655341112302
0.452,0.8443242659741342,-0.2037793543947864,0.4367655571845614
0.454,0.8439177717509639,-0.2026769692773588,0.4385638331962463
0.456,0.8435134810267068,-0.2015765630367619,0.440360354953183
0.458,0.8431113899426611,-0.200478137336687,0.4421551152692872
0.46,0.8427114946401258,-0.199381693837303,0.4439481069655198
0.462,0.8423137912603992,-0.1982872341952414,0.4457393228699165
0.464,0.84191827594478,-0.197194760063582,0.4475287558176159
0.466,0.8415249448345665,-0.1961042730918388,0.4493163986508889
0.468,0.8411337940710577,-0.1950157749259457,0.4511022442191663
0.47,0.8407448197955517,-0.1939292672082417,0.4528862853790683
0.472,0.8403580181493474,-0.1928447515774574,0.4546685149944326
0.474,0.8399733852737432,-0.1917622296687,0.4564489259363432
0.476,0.8395909173100377,-0.1906817031134395,0.4582275110831587
0.478,0.8392106103995295,-0.1896031735394944,0.4600042633205407
0.48,0.838832460683517,-0.1885266425710171,0.4617791755414829
