"time","F12.F1.y","F12.F2.y","der(F12.F1.y)","der(F12.F2.y)","F12.F1.u","F12.F2.u"
4.38,0.5874294264635503,0.9533698869876045,-0.2554491564419356,-0.03326731459309584,-0.9452655121880633,0.5874294264635503
4.382,0.5869185213366668,0.9533033140555346,-0.2554724578192623,-0.03330770842898798,-0.945916225578907,0.5869185213366668
4.384,0.5864075702363462,0.9532366603333918,-0.2554951209237427,-0.03334809909973142,-0.9465631553061098,0.5864075702363462
4.386,0.5858965744337443,0.9531699258267555,-0.2555171455359496,-0.03338848649027375,-0.9472062987819532,0.5858965744337443
4.388,0.5853855352004312,0.9531031105414294,-0.2555385314390493,-0.03342887048554528,-0.9478456534338644,0.5853855352004312
4.39,0.5848744538083887,0.9530362144834419,-0.2555592784188024,-0.03346925097045939,-0.9484812167044256,0.5848744538083887
4.392,0.5843633315300057,0.9529692376590471,-0.2555793862635651,-0.03350962782991285,-0.9491129860513849,0.5843633315300057
4.394,0.5838521696380758,0.9529021800747229,-0.2555988547642902,-0.0335500009487861,-0.9497409589476653,0.5838521696380758
4.396,0.5833409694057908,0.9528350417371737,-0.2556176837145279,-0.03359037021194389,-0.9503651328813763,0.5833409694057908
4.398,0.5828297321067393,0.9527678226533287,-0.255635872910427,-0.03363073550423541,-0.9509855053558227,0.5828297321067393
4.4,0.5823184590149003,0.9527005228303428,-0.2556534221507361,-0.03367109671049477,-0.951602073889516,0.5823184590149003
4.402,0.5818071514046421,0.9526331422755971,-0.2556703312368041,-0.03371145371554136,-0.9522148360161824,0.5818071514046421
4.404,0.5812958105507153,0.9525656809966987,-0.2556865999725816,-0.0337518064041803,-0.9528237892847743,0.5812958105507153
4.406,0.5807844377282506,0.9524981390014804,-0.2557022281646217,-0.03379215466120271,-0.9534289312594794,0.5807844377282506
4.408,0.5802730342127546,0.9524305162980017,-0.2557172156220809,-0.0338324983713861,-0.9540302595197311,0.5802730342127546
